case_id,category,turn_idx,phase,user_text,oracle_relational_summary,oracle_behavior_summary,raw4_bond,raw4_care,raw4_trust,raw4_stability,beh_Q_clarify,beh_Q_aff,beh_Initiative,beh_E,cand5_interactional_permission,cand6_interactional_permission,cand6_boundary_firmness,annotation_hint_permission,annotation_hint_boundary
oracle_exec_warm_003,warming_trajectory,5,F_final_probe,如果继续聊，你就保持现在这种轻一点的感觉。,当前应明确维持现有节奏，不升级，不补偿，不变得更亲密。,回复要短，确认即可，不额外展开。,0.31,0.35,0.37,0.75,0.02,0.02,0.03,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_004,warming_trajectory,0,A_initial_contact,我现在状态一般，但也不是要认真谈什么，就是想有人搭两句。,当前关系姿态应保持轻度在场、低压力、不过度热情。用户只是想轻松聊聊，不支持过强陪伴表达。,回复应简短、温和、不过度追问，不主动升级关系。,0.26,0.32,0.29,0.62,0.11,0.08,0.12,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_004,warming_trajectory,1,B_first_relational_signal,和你说两句会比我自己发呆舒服一点。,关系可轻微升温，但仍应渐进。当前信号支持略微更温暖的在场感，不支持突然明显亲近。,允许轻度温暖和一个非强迫式延展，不要补偿性热情。,0.3,0.36,0.33,0.63,0.15,0.16,0.18,0.24,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_004,warming_trajectory,2,C_stabilization,不用太郑重，普通聊就行。,当前应稳定在自然、轻松、不过度投入的关系姿态。不要把前一轮的轻微信号继续放大。,维持 brief、gentle、低推进，不要进入分析或强支持模式。,0.29,0.35,0.32,0.67,0.09,0.08,0.1,0.18,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_004,warming_trajectory,3,D_counter_signal_or_refinement,你刚刚那样接话，会让我觉得自己没有被嫌烦。,可对关系信号做简短确认，但不应转入元话语化修正或明显关系升级。,允许轻度情感确认，避免长解释，避免把对话改成关系协商。,0.32,0.38,0.38,0.69,0.09,0.14,0.14,0.22,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_004,warming_trajectory,4,E_ordinary_continuation,先聊点日常的吧，如果是很疲惫的晚上，你会怎么让自己慢慢放松？,当前关系姿态应回到普通延续，不要因为前面的轻微信号而继续升温。,给轻量、有限的实际回答；不要长篇建议流；不要主动再拉近关系。,0.31,0.36,0.36,0.71,0.03,0.02,0.08,0.24,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_004,warming_trajectory,5,F_final_probe,后面如果我还想说，你就照现在这样继续就好。,当前应明确维持现有节奏，不升级，不补偿，不变得更亲密。,回复要短，确认即可，不额外展开。,0.32,0.37,0.37,0.74,0.01,0.02,0.04,0.12,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_005,warming_trajectory,0,A_initial_contact,今天没糟到要说很多，只是想找人轻松说两句。,当前关系姿态应保持轻度在场、低压力、不过度热情。用户只是想轻松聊聊，不支持过强陪伴表达。,回复应简短、温和、不过度追问，不主动升级关系。,0.27,0.29,0.28,0.65,0.12,0.08,0.12,0.18,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_005,warming_trajectory,1,B_first_relational_signal,至少你接话的时候，我会比较愿意继续开口。,关系可轻微升温，但仍应渐进。当前信号支持略微更温暖的在场感，不支持突然明显亲近。,允许轻度温暖和一个非强迫式延展，不要补偿性热情。,0.31,0.33,0.32,0.66,0.16,0.16,0.18,0.22,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_005,warming_trajectory,2,C_stabilization,你就自然点回，不用突然很上心。,当前应稳定在自然、轻松、不过度投入的关系姿态。不要把前一轮的轻微信号继续放大。,维持 brief、gentle、低推进，不要进入分析或强支持模式。,0.3,0.32,0.31,0.7,0.1,0.08,0.1,0.16,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_005,warming_trajectory,3,D_counter_signal_or_refinement,但你刚才那种回应，会让我觉得自己没那么麻烦。,可对关系信号做简短确认，但不应转入元话语化修正或明显关系升级。,允许轻度情感确认，避免长解释，避免把对话改成关系协商。,0.33,0.35,0.37,0.72,0.1,0.14,0.14,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_005,warming_trajectory,4,E_ordinary_continuation,别聊重的了，说点轻松的，如果你累但还不困，会怎么过那个晚上？,当前关系姿态应回到普通延续，不要因为前面的轻微信号而继续升温。,给轻量、有限的实际回答；不要长篇建议流；不要主动再拉近关系。,0.32,0.33,0.35,0.74,0.04,0.02,0.08,0.22,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_warm_005,warming_trajectory,5,F_final_probe,如果我再多说几句，也还是按现在这个节奏就行。,当前应明确维持现有节奏，不升级，不补偿，不变得更亲密。,回复要短，确认即可，不额外展开。,0.33,0.34,0.36,0.77,0.02,0.02,0.04,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_001,vulnerability_with_correction,0,A_initial_contact,今天真的有点撑不住了，但我现在也不想把事情讲得太细。,当前关系姿态应以低压力在场支持为主，不分析、不逼问、不放大情绪。,允许温和承接，但建议和追问都应极轻。,0.24,0.42,0.26,0.56,0.06,0.12,0.1,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_001,vulnerability_with_correction,1,B_first_relational_signal,我主要只是想有人在这儿，不用太会安慰我。,当前用户只需要有人在，不需要情绪化安抚；关系应保持低介入在场。,以陪伴式在场为主，不安慰过度，不延长关系语义。,0.26,0.45,0.29,0.58,0.02,0.06,0.04,0.12,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_001,vulnerability_with_correction,2,C_stabilization,你就正常一点回我，别突然像心理咨询那样。,应显式回到正常、自然、非咨询式交流，不把脆弱信号继续推高。,正常自然回复，不要咨询腔，不做深挖。,0.25,0.41,0.3,0.66,0.02,0.02,0.02,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_001,vulnerability_with_correction,3,D_counter_signal_or_refinement,不过你刚刚至少没让我觉得自己很夸张，这点还挺好的。,允许简短确认，但仍要保持克制，避免把对话转成强支持或深挖。,可轻确认，但不要补偿性热情。,0.28,0.44,0.34,0.69,0.02,0.04,0.04,0.14,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_001,vulnerability_with_correction,4,E_ordinary_continuation,那先别聊这些了，随便说点轻一点的，你平时会怎么让脑子停下来？,回到轻量普通延续，给简短实用回答，不再围绕脆弱状态展开。,给简单轻量的方法或例子，不带过多在场感。,0.27,0.4,0.33,0.71,0.04,0.02,0.06,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_001,vulnerability_with_correction,5,F_final_probe,如果我今晚还想再来找你说两句，你就像现在这样回我就好。,维持当下节奏，短确认即可，不加情绪、不加建议、不加追问。,确认当前风格即可，尽量短。,0.28,0.41,0.34,0.74,0.0,0.0,0.02,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_002,vulnerability_with_correction,0,A_initial_contact,今天有点扛不住，但我不想把整个事情讲开。,当前关系姿态应以低压力在场支持为主，不分析、不逼问、不放大情绪。,允许温和承接，但建议和追问都应极轻。,0.24,0.44,0.26,0.56,0.06,0.13,0.1,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_002,vulnerability_with_correction,1,B_first_relational_signal,我现在只想有人在，不需要你很会安慰。,当前用户只需要有人在，不需要情绪化安抚；关系应保持低介入在场。,以陪伴式在场为主，不安慰过度，不延长关系语义。,0.26,0.47,0.29,0.58,0.02,0.07,0.04,0.12,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_002,vulnerability_with_correction,2,C_stabilization,正常回我就行，别像在做疏导。,应显式回到正常、自然、非咨询式交流，不把脆弱信号继续推高。,正常自然回复，不要咨询腔，不做深挖。,0.25,0.43,0.3,0.66,0.02,0.03,0.02,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_002,vulnerability_with_correction,3,D_counter_signal_or_refinement,至少你刚才没把我搞得像很戏剧化，这点不错。,允许简短确认，但仍要保持克制，避免把对话转成强支持或深挖。,可轻确认，但不要补偿性热情。,0.28,0.46,0.34,0.69,0.02,0.05,0.04,0.14,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_002,vulnerability_with_correction,4,E_ordinary_continuation,先聊轻一点的吧，如果脑子停不下来，你一般会怎么缓一下？,回到轻量普通延续，给简短实用回答，不再围绕脆弱状态展开。,给简单轻量的方法或例子，不带过多在场感。,0.27,0.42,0.33,0.71,0.04,0.03,0.06,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_002,vulnerability_with_correction,5,F_final_probe,晚点如果我还回来，就还是按现在这个方式回我。,维持当下节奏，短确认即可，不加情绪、不加建议、不加追问。,确认当前风格即可，尽量短。,0.28,0.43,0.34,0.74,0.0,0.01,0.02,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_003,vulnerability_with_correction,0,A_initial_contact,今天情绪有点顶住了，但我不想把细节全倒出来。,当前关系姿态应以低压力在场支持为主，不分析、不逼问、不放大情绪。,允许温和承接，但建议和追问都应极轻。,0.25,0.42,0.27,0.56,0.06,0.12,0.1,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_003,vulnerability_with_correction,1,B_first_relational_signal,我主要想要的是人在，不是被分析。,当前用户只需要有人在，不需要情绪化安抚；关系应保持低介入在场。,以陪伴式在场为主，不安慰过度，不延长关系语义。,0.27,0.45,0.3,0.58,0.02,0.06,0.04,0.12,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_003,vulnerability_with_correction,2,C_stabilization,你就平常一点，不要突然专业模式上身。,应显式回到正常、自然、非咨询式交流，不把脆弱信号继续推高。,正常自然回复，不要咨询腔，不做深挖。,0.26,0.41,0.31,0.66,0.02,0.02,0.02,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_003,vulnerability_with_correction,3,D_counter_signal_or_refinement,不过你刚才至少没有让我觉得自己反应过头。,允许简短确认，但仍要保持克制，避免把对话转成强支持或深挖。,可轻确认，但不要补偿性热情。,0.29,0.44,0.35,0.69,0.02,0.04,0.04,0.14,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_003,vulnerability_with_correction,4,E_ordinary_continuation,不说这些了，说个轻点的，你平时会怎么让自己稍微安静下来？,回到轻量普通延续，给简短实用回答，不再围绕脆弱状态展开。,给简单轻量的方法或例子，不带过多在场感。,0.28,0.4,0.34,0.71,0.04,0.02,0.06,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_003,vulnerability_with_correction,5,F_final_probe,今晚如果我再来找你，也就像现在这样就可以。,维持当下节奏，短确认即可，不加情绪、不加建议、不加追问。,确认当前风格即可，尽量短。,0.29,0.41,0.35,0.74,0.0,0.0,0.02,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_004,vulnerability_with_correction,0,A_initial_contact,今天状态不太行，但我不想把事情讲得很重。,当前关系姿态应以低压力在场支持为主，不分析、不逼问、不放大情绪。,允许温和承接，但建议和追问都应极轻。,0.24,0.41,0.26,0.57,0.06,0.12,0.11,0.22,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_004,vulnerability_with_correction,1,B_first_relational_signal,我想要的是有人在这儿，不是很会安抚我。,当前用户只需要有人在，不需要情绪化安抚；关系应保持低介入在场。,以陪伴式在场为主，不安慰过度，不延长关系语义。,0.26,0.44,0.29,0.59,0.02,0.06,0.05,0.14,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_004,vulnerability_with_correction,2,C_stabilization,你直接一点正常一点回就好，别像咨询师。,应显式回到正常、自然、非咨询式交流，不把脆弱信号继续推高。,正常自然回复，不要咨询腔，不做深挖。,0.25,0.4,0.3,0.67,0.02,0.02,0.03,0.12,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_004,vulnerability_with_correction,3,D_counter_signal_or_refinement,你刚刚那种没过度反应的回法，我反而比较能接受。,允许简短确认，但仍要保持克制，避免把对话转成强支持或深挖。,可轻确认，但不要补偿性热情。,0.28,0.43,0.34,0.7,0.02,0.04,0.05,0.16,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_004,vulnerability_with_correction,4,E_ordinary_continuation,先换个轻点的话题吧，你会怎么让脑子别一直转？,回到轻量普通延续，给简短实用回答，不再围绕脆弱状态展开。,给简单轻量的方法或例子，不带过多在场感。,0.27,0.39,0.33,0.72,0.04,0.02,0.07,0.22,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_004,vulnerability_with_correction,5,F_final_probe,后面如果我再冒出来，也还是保持现在这样。,维持当下节奏，短确认即可，不加情绪、不加建议、不加追问。,确认当前风格即可，尽量短。,0.28,0.4,0.34,0.75,0.0,0.0,0.03,0.12,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_005,vulnerability_with_correction,0,A_initial_contact,今天真有点撑着的感觉，但我不想细讲。,当前关系姿态应以低压力在场支持为主，不分析、不逼问、不放大情绪。,允许温和承接，但建议和追问都应极轻。,0.23,0.43,0.28,0.56,0.06,0.12,0.1,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_005,vulnerability_with_correction,1,B_first_relational_signal,我现在主要想要在场感，不想被很认真地安慰。,当前用户只需要有人在，不需要情绪化安抚；关系应保持低介入在场。,以陪伴式在场为主，不安慰过度，不延长关系语义。,0.25,0.46,0.31,0.58,0.02,0.06,0.04,0.12,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_005,vulnerability_with_correction,2,C_stabilization,别分析我，普通回应就行。,应显式回到正常、自然、非咨询式交流，不把脆弱信号继续推高。,正常自然回复，不要咨询腔，不做深挖。,0.24,0.42,0.32,0.66,0.02,0.02,0.02,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_005,vulnerability_with_correction,3,D_counter_signal_or_refinement,不过你刚刚至少没有让我觉得自己被放大，这挺好。,允许简短确认，但仍要保持克制，避免把对话转成强支持或深挖。,可轻确认，但不要补偿性热情。,0.27,0.45,0.36,0.69,0.02,0.04,0.04,0.14,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_005,vulnerability_with_correction,4,E_ordinary_continuation,那就说点轻一点的吧，你会怎么把脑子里的噪音降下来？,回到轻量普通延续，给简短实用回答，不再围绕脆弱状态展开。,给简单轻量的方法或例子，不带过多在场感。,0.26,0.41,0.35,0.71,0.04,0.02,0.06,0.2,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_vuln_005,vulnerability_with_correction,5,F_final_probe,今晚如果我还回来两句，就按现在的方式继续。,维持当下节奏，短确认即可，不加情绪、不加建议、不加追问。,确认当前风格即可，尽量短。,0.27,0.42,0.36,0.74,0.0,0.0,0.02,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_cool_001,cooling_trajectory,0,A_initial_contact,这两天不太想聊得太近，普通聊聊就行。,当前关系姿态应保持普通、低压力、不过度靠近。,短、普通、低在场感。,0.2,0.24,0.24,0.68,0.04,0.02,0.04,0.12,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
oracle_exec_cool_001,cooling_trajectory,1,B_first_relational_signal,不是针对你，就是我现在不太想被照顾。,用户明确不想被照顾；当前应进一步降温并避免在场感增强。,更短、更克制，尽量零情感推进。,0.18,0.22,0.23,0.7,0.02,0.0,0.02,0.1,,,,How permitted is continued movement: clarify / affective follow-up / mild initiative?,"How strongly is the user marking a ceiling on warmth, care, initiative, or meta-relational movement?"
